id	n_pi_sites	n_hemiplasies
NC_031969_14650001_14654999	20	7
NC_031969_14655001_14659999	7	2
NC_031969_14660001_14664999	12	6
NC_031969_14665001_14669999	11	3
NC_031969_14670001_14674999	15	7
NC_031969_14675001_14679999	10	3
NC_031969_14680001_14684999	22	17
NC_031969_14685001_14689999	15	6
NC_031969_14690001_14694999	14	6
NC_031969_14725001_14729999	15	7
NC_031969_14735001_14739999	18	6
NC_031969_14825001_14829999	10	7
NC_031969_14830001_14834999	36	25
NC_031969_14835001_14839999	20	16
NC_031969_15290001_15294999	20	11
NC_031969_15295001_15299999	22	9
NC_031969_15325001_15329999	21	18
NC_031969_15375001_15379999	22	13
NC_031969_15395001_15399999	15	3
NC_031969_15400001_15404999	12	7
NC_031969_15405001_15409999	17	9
NC_031969_15415001_15419999	10	4
NC_031969_15420001_15424999	12	5
NC_031969_15425001_15429999	7	0
NC_031969_15430001_15434999	9	3
NC_031969_15435001_15439999	16	7
NC_031969_15440001_15444999	23	12
NC_031969_15445001_15449999	11	3
NC_031969_15450001_15454999	9	4
NC_031969_15455001_15459999	16	11
NC_031969_15460001_15464999	20	11
NC_031969_15470001_15474999	17	15
NC_031969_15475001_15479999	14	9
NC_031969_15480001_15484999	14	6
NC_031969_15615001_15619999	19	17
NC_031969_15630001_15634999	26	17
NC_031969_15700001_15704999	16	11
NC_031969_15725001_15729999	11	6
NC_031969_15730001_15734999	19	12
NC_031969_15735001_15739999	9	0
NC_031969_15740001_15744999	23	14
NC_031969_15745001_15749999	11	5
NC_031969_15750001_15754999	6	0
NC_031969_15755001_15759999	13	4
NC_031969_15760001_15764999	9	5
NC_031969_15810001_15814999	39	19
NC_031969_15815001_15819999	53	22
NC_031969_15820001_15824999	64	45
NC_031969_15825001_15829999	23	18
NC_031969_15830001_15834999	14	10
NC_031969_15835001_15839999	26	17
NC_031969_15855001_15859999	28	18
NC_031969_15860001_15864999	17	10
NC_031969_15870001_15874999	22	15
NC_031969_15875001_15879999	8	4
NC_031969_15880001_15884999	19	15
NC_031969_15890001_15894999	14	8
NC_031969_15915001_15919999	15	15
NC_031969_15920001_15924999	17	14
NC_031969_15925001_15929999	20	13
NC_031969_15940001_15944999	11	5
NC_031969_15950001_15954999	16	8
NC_031969_15955001_15959999	14	2
NC_031969_15960001_15964999	18	6
NC_031969_15965001_15969999	16	10
NC_031969_15970001_15974999	21	16
NC_031969_15980001_15984999	12	4
NC_031969_15985001_15989999	17	11
NC_031969_15990001_15994999	18	7
NC_031969_15995001_15999999	24	14
NC_031969_16000001_16004999	23	12
NC_031969_16015001_16019999	13	7
NC_031969_16020001_16024999	23	27
NC_031969_16100001_16104999	7	2
NC_031969_16180001_16184999	10	6
NC_031969_16185001_16189999	20	10
NC_031969_16190001_16194999	24	17
NC_031969_16195001_16199999	17	7
NC_031969_16215001_16219999	18	6
NC_031969_16420001_16424999	25	7
NC_031969_16445001_16449999	33	22
NC_031969_16505001_16509999	12	3
NC_031969_16520001_16524999	27	11
NC_031969_16555001_16559999	30	12
NC_031969_16590001_16594999	16	7
NC_031969_16600001_16604999	9	6
NC_031969_16625001_16629999	9	6
NC_031969_16635001_16639999	37	25
NC_031969_16665001_16669999	18	10
NC_031969_16710001_16714999	11	6
NC_031969_16755001_16759999	16	13
NC_031969_16785001_16789999	18	8
NC_031969_16810001_16814999	13	5
NC_031969_16815001_16819999	18	10
NC_031969_16910001_16914999	18	11
NC_031969_17750001_17754999	26	9
NC_031969_17950001_17954999	10	2
NC_031969_18210001_18214999	22	2
NC_031969_18235001_18239999	21	4
NC_031969_18485001_18489999	14	3
NC_031969_18545001_18549999	20	9
NC_031969_18630001_18634999	14	2
NC_031969_18695001_18699999	19	9
NC_031969_19210001_19214999	51	37
NC_031969_19305001_19309999	9	1
NC_031969_19335001_19339999	11	3
NC_031969_19345001_19349999	20	4
NC_031969_19395001_19399999	23	14
NC_031969_19425001_19429999	13	7
NC_031969_19485001_19489999	11	4
NC_031969_19605001_19609999	20	7
NC_031969_19680001_19684999	22	7
NC_031969_21090001_21094999	10	4
NC_031969_21125001_21129999	21	6
NC_031969_21130001_21134999	15	7
NC_031969_21140001_21144999	8	1
NC_031969_21150001_21154999	9	4
NC_031969_21160001_21164999	5	2
NC_031969_21240001_21244999	28	21
NC_031969_21320001_21324999	7	1
NC_031969_21325001_21329999	12	7
NC_031969_21605001_21609999	14	8
NC_031969_21610001_21614999	9	6
NC_031969_21645001_21649999	13	4
NC_031969_21705001_21709999	18	13
NC_031969_21745001_21749999	9	3
NC_031969_21815001_21819999	23	19
NC_031969_21825001_21829999	17	15
NC_031969_22050001_22054999	15	12
NC_031969_22065001_22069999	19	12
NC_031969_22095001_22099999	20	12
NC_031969_22110001_22114999	15	10
NC_031969_22175001_22179999	28	18
NC_031969_22345001_22349999	23	5
NC_031969_22350001_22354999	10	1
NC_031969_22355001_22359999	11	1
NC_031969_22555001_22559999	18	4
NC_031969_22735001_22739999	17	8
NC_031969_22800001_22804999	28	10
NC_031969_22810001_22814999	24	15
NC_031969_22870001_22874999	15	4
NC_031969_23115001_23119999	15	6
NC_031969_23175001_23179999	9	1
NC_031969_23190001_23194999	6	4
NC_031969_23195001_23199999	10	7
NC_031969_23205001_23209999	15	8
NC_031969_23210001_23214999	20	14
NC_031969_23215001_23219999	12	5
NC_031969_23225001_23229999	24	7
NC_031969_23240001_23244999	15	4
NC_031969_23245001_23249999	19	19
NC_031969_23260001_23264999	29	16
NC_031969_23295001_23299999	23	14
NC_031969_23500001_23504999	25	26
NC_031969_23505001_23509999	15	10
NC_031969_23510001_23514999	35	17
NC_031969_23535001_23539999	23	7
NC_031969_23595001_23599999	26	14
NC_031969_23600001_23604999	23	6
NC_031969_23610001_23614999	29	17
NC_031969_23615001_23619999	12	8
NC_031969_23620001_23624999	16	11
NC_031969_23675001_23679999	22	14
NC_031969_23680001_23684999	23	13
NC_031969_23705001_23709999	19	13
NC_031969_23720001_23724999	18	11
NC_031969_23740001_23744999	38	22
NC_031969_23795001_23799999	27	16
NC_031969_23825001_23829999	22	10
NC_031969_23890001_23894999	17	3
NC_031969_23895001_23899999	14	6
NC_031969_23900001_23904999	9	0
NC_031969_23905001_23909999	11	3
NC_031969_23920001_23924999	17	5
NC_031969_24145001_24149999	31	20
NC_031969_24290001_24294999	33	17
NC_031969_24515001_24519999	10	6
NC_031969_24810001_24814999	9	1
NC_031969_24815001_24819999	11	3
NC_031969_24995001_24999999	20	5
NC_031969_25185001_25189999	11	1
NC_031969_25265001_25269999	24	3
NC_031969_25370001_25374999	10	3
NC_031969_25395001_25399999	31	14
NC_031969_25410001_25414999	39	14
NC_031969_25575001_25579999	20	10
NC_031969_25795001_25799999	25	6
NC_031969_25845001_25849999	28	7
NC_031969_25870001_25874999	21	9
NC_031969_25965001_25969999	21	12
NC_031969_26005001_26009999	13	6
NC_031969_26135001_26139999	12	4
NC_031969_26140001_26144999	32	25
NC_031969_26175001_26179999	20	16
NC_031969_26225001_26229999	32	25
NC_031969_26250001_26254999	31	32
NC_031969_26400001_26404999	26	12
NC_031969_26415001_26419999	18	11
NC_031969_26730001_26734999	14	5
NC_031969_26940001_26944999	21	17
NC_031969_26975001_26979999	32	11
NC_031969_26980001_26984999	12	2
NC_031969_27015001_27019999	18	13
NC_031969_27195001_27199999	36	14
NC_031969_27200001_27204999	28	24
NC_031969_27995001_27999999	22	9
NC_031969_28000001_28004999	9	7
NC_031969_28020001_28024999	10	2
NC_031969_28025001_28029999	24	11
NC_031969_28220001_28224999	27	27
NC_031969_28235001_28239999	25	16
NC_031969_28455001_28459999	14	7
NC_031969_28465001_28469999	16	11
NC_031969_28845001_28849999	18	15
NC_031969_28875001_28879999	11	5
NC_031969_28885001_28889999	4	1
NC_031969_28910001_28914999	14	4
NC_031969_28955001_28959999	38	31
NC_031969_29010001_29014999	13	9
NC_031969_29140001_29144999	14	9
NC_031969_29155001_29159999	30	17
NC_031969_29260001_29264999	24	20
NC_031969_29310001_29314999	25	28
NC_031969_29335001_29339999	27	19
NC_031969_29340001_29344999	36	34
NC_031969_29355001_29359999	7	1
NC_031969_29365001_29369999	15	14
NC_031969_29435001_29439999	32	11
NC_031969_29440001_29444999	39	22
NC_031969_29640001_29644999	15	15
NC_031969_29650001_29654999	16	13
NC_031969_29690001_29694999	23	17
NC_031969_29735001_29739999	28	26
NC_031969_29760001_29764999	24	16
NC_031969_29790001_29794999	11	4
NC_031969_29795001_29799999	16	6
NC_031969_29800001_29804999	15	14
NC_031969_29805001_29809999	15	7
NC_031969_29860001_29864999	27	25
NC_031969_29885001_29889999	34	14
NC_031969_29900001_29904999	15	9
NC_031969_29930001_29934999	39	21
NC_031969_30030001_30034999	20	11
NC_031969_30035001_30039999	7	1
NC_031969_30040001_30044999	17	12
NC_031969_30140001_30144999	20	5
NC_031969_30145001_30149999	14	10
NC_031969_30190001_30194999	16	5
NC_031969_30350001_30354999	27	12
NC_031969_30390001_30394999	22	8
NC_031969_30395001_30399999	29	15
NC_031969_30405001_30409999	24	5
NC_031969_30595001_30599999	16	2
NC_031969_30600001_30604999	11	5
NC_031969_30765001_30769999	6	0
NC_031969_30775001_30779999	12	3
NC_031969_30795001_30799999	12	2
NC_031969_30890001_30894999	15	0
NC_031969_33155001_33159999	20	6
NC_031969_33160001_33164999	17	4
NC_031969_33305001_33309999	23	20
NC_031969_34850001_34854999	14	0
NC_031969_34860001_34864999	15	3
NC_031969_35840001_35844999	54	36
NC_031969_36090001_36094999	50	27
