block_id	best	delta_lik	lik_t1	lik_t2	lik_t3
NC_031969.f5.masked_05815001_05815999	t2	.0033	-1010.9631	-1010.9556	-1010.9589
NC_031969.f5.masked_05868001_05868999	t1	.0002	-1157.0806	-1157.0808	-1157.0810
NC_031969.f5.masked_05873001_05873999	t1	1.5708	-1158.2279	-1159.7987	-1165.0721
NC_031969.f5.masked_05878001_05878999	t1	8.6726	-1356.8703	-1365.5429	-1379.8119
NC_031969.f5.masked_05913001_05913999	t1	.3036	-1248.0433	-1248.3469	-1253.5889
NC_031969.f5.masked_05916001_05916999	t1	6.0204	-1263.9737	-1270.7507	-1269.9941
NC_031969.f5.masked_05918001_05918999	t1	1.9537	-1233.2751	-1235.2288	-1238.2093
NC_031969.f5.masked_05997001_05997999	t3	6.1922	-1257.8669	-1257.8712	-1251.6747
NC_031969.f5.masked_06030001_06030999	t2	.1095	-1084.0240	-1083.9145	-1084.2014
NC_031969.f5.masked_06052001_06052999	t2	.0901	-1161.0774	-1160.9873	-1173.2238
NC_031969.f5.masked_06063001_06063999	t2	.7661	-1393.1515	-1392.3854	-1396.5730
NC_031969.f5.masked_06075001_06075999	t1	8.2189	-1157.1749	-1165.3938	-1169.0457
NC_031969.f5.masked_06228001_06228999	t2	3.9670	-1362.5303	-1358.5633	-1365.5976
NC_031969.f5.masked_06332001_06332999	t3	8.1496	-1233.2886	-1233.2889	-1225.1390
NC_031969.f5.masked_06333001_06333999	t3	6.1722	-1413.9055	-1413.9008	-1407.7286
NC_031969.f5.masked_06652001_06652999	t1	7.7437	-973.0716	-980.8153	-980.8158
NC_031969.f5.masked_06667001_06667999	t2	5.8496	-976.6656	-970.8160	-979.4841
NC_031969.f5.masked_06725001_06725999	t1	.0125	-1162.3564	-1162.3689	-1162.3744
NC_031969.f5.masked_06745001_06745999	t2	8.0848	-1171.5022	-1158.7705	-1166.8553
NC_031969.f5.masked_06783001_06783999	t1	3.3395	-1419.4231	-1422.7626	-1424.7572
NC_031969.f5.masked_06823001_06823999	t1	6.6742	-1118.5404	-1125.8554	-1125.2146
NC_031969.f5.masked_06831001_06831999	t3	.0028	-1372.5237	-1372.8263	-1372.5209
NC_031969.f5.masked_06848001_06848999	t1	.0691	-1165.8447	-1165.9989	-1165.9138
NC_031969.f5.masked_06879001_06879999	t1	5.7690	-1171.2005	-1176.9695	-1187.5301
NC_031969.f5.masked_07082001_07082999	t1	.0012	-1079.3879	-1079.3998	-1079.3891
NC_031969.f5.masked_07108001_07108999	t1	.0032	-1083.5129	-1083.5484	-1083.5161
NC_031969.f5.masked_07128001_07128999	t1	.0197	-1108.5231	-1108.5428	-1108.5514
NC_031969.f5.masked_07132001_07132999	t1	.0011	-965.6743	-965.6754	-966.0123
NC_031969.f5.masked_07138001_07138999	t3	.0003	-996.8607	-996.8606	-996.8603
NC_031969.f5.masked_07140001_07140999	t1	.1413	-1037.5229	-1037.6642	-1037.6703
NC_031969.f5.masked_07141001_07141999	t1	11.9154	-1582.6834	-1594.5988	-1595.9286
NC_031969.f5.masked_07142001_07142999	t1	10.1933	-1286.0764	-1296.2697	-1305.7632
NC_031969.f5.masked_07146001_07146999	t3	.0007	-1134.4836	-1134.4837	-1134.4829
NC_031969.f5.masked_07161001_07161999	t1	.0003	-1099.8400	-1099.9067	-1099.8403
NC_031969.f5.masked_07188001_07188999	t2	.0004	-1054.8940	-1054.8936	-1055.1413
NC_031969.f5.masked_07190001_07190999	t1	7.3821	-1085.8662	-1093.2483	-1093.2483
NC_031969.f5.masked_07193001_07193999	t3	.0102	-1030.1127	-1030.1168	-1030.1025
NC_031969.f5.masked_07218001_07218999	t3	4.8376	-1070.4957	-1069.6081	-1064.7705
NC_031969.f5.masked_07240001_07240999	t1	.4945	-1125.2845	-1125.7790	-1125.8717
NC_031969.f5.masked_07245001_07245999	t2	.1628	-1041.6259	-1034.2248	-1034.3876
NC_031969.f5.masked_07335001_07335999	t3	1.1300	-1123.7781	-1123.7777	-1122.6477
NC_031969.f5.masked_07339001_07339999	t1	7.6127	-1358.1844	-1365.7971	-1374.0375
NC_031969.f5.masked_07340001_07340999	t3	.0004	-1376.9736	-1376.9731	-1376.9727
NC_031969.f5.masked_07343001_07343999	t2	.1750	-1153.3941	-1153.2191	-1158.0226
NC_031969.f5.masked_07453001_07453999	t2	.0005	-966.2952	-966.2945	-966.2950
NC_031969.f5.masked_07454001_07454999	t2	.0075	-1446.0794	-1446.0719	-1446.0889
NC_031969.f5.masked_07455001_07455999	t3	.5599	-1502.2755	-1510.0860	-1501.7156
NC_031969.f5.masked_07456001_07456999	t1	.0233	-1315.3591	-1315.3824	-1315.4481
NC_031969.f5.masked_07457001_07457999	t1	6.2304	-1167.5140	-1173.7457	-1173.7444
NC_031969.f5.masked_07458001_07458999	t3	6.2269	-1194.8037	-1194.8506	-1188.5768
NC_031969.f5.masked_07513001_07513999	t1	.0190	-1062.3502	-1063.7381	-1062.3692
NC_031969.f5.masked_07529001_07529999	t1	.0255	-1110.4660	-1110.4915	-1110.9321
NC_031969.f5.masked_07561001_07561999	t1	1.6863	-1349.0151	-1351.0017	-1350.7014
NC_031969.f5.masked_07562001_07562999	t1	5.9205	-1083.2967	-1090.5965	-1089.2172
NC_031969.f5.masked_07597001_07597999	t2	12.0621	-1552.6905	-1535.8278	-1547.8899
NC_031969.f5.masked_07601001_07601999	t1	19.7560	-1268.1426	-1289.0475	-1287.8986
NC_031969.f5.masked_07602001_07602999	t3	.0005	-1111.5586	-1105.1258	-1105.1253
NC_031969.f5.masked_07603001_07603999	t2	5.9950	-1108.6162	-1102.5731	-1108.5681
NC_031969.f5.masked_07604001_07604999	t2	7.7795	-1070.6590	-1062.8795	-1075.7895
NC_031969.f5.masked_07608001_07608999	t2	11.7319	-1153.6852	-1140.2480	-1151.9799
NC_031969.f5.masked_07612001_07612999	t2	.0006	-1019.4206	-1019.4193	-1019.4199
NC_031969.f5.masked_07649001_07649999	t1	3.4476	-1505.8016	-1509.2492	-1509.2509
NC_031969.f5.masked_07650001_07650999	t1	2.5638	-1182.7869	-1185.3507	-1189.9937
NC_031969.f5.masked_07651001_07651999	t1	14.4354	-1198.9536	-1213.3890	-1215.1596
NC_031969.f5.masked_07682001_07682999	t1	7.3147	-1210.3493	-1217.6640	-1217.6674
NC_031969.f5.masked_07720001_07720999	t2	.0184	-1330.1089	-1330.0905	-1338.1158
NC_031969.f5.masked_07725001_07725999	t1	.0016	-1047.1580	-1047.1610	-1047.1596
NC_031969.f5.masked_07726001_07726999	t3	6.1785	-1309.1427	-1309.1493	-1302.9642
NC_031969.f5.masked_07727001_07727999	t3	6.2348	-1100.3224	-1101.6415	-1094.0876
NC_031969.f5.masked_07729001_07729999	t3	.0867	-1077.7293	-1069.2029	-1069.1162
NC_031969.f5.masked_07730001_07730999	t3	.0064	-1069.5494	-1069.5440	-1069.5376
NC_031969.f5.masked_07737001_07737999	t3	6.8215	-1031.4657	-1026.0182	-1019.1967
NC_031969.f5.masked_07912001_07912999	t2	.0004	-1197.1811	-1197.1807	-1197.2266
NC_031969.f5.masked_07958001_07958999	t3	5.0583	-1157.9795	-1148.7892	-1143.7309
NC_031969.f5.masked_07962001_07962999	t2	1.7609	-1220.4867	-1213.0982	-1214.8591
NC_031969.f5.masked_07990001_07990999	t2	18.4777	-1422.1277	-1403.6500	-1422.4330
NC_031969.f5.masked_07991001_07991999	t2	13.0348	-1061.2907	-1048.2559	-1061.8125
NC_031969.f5.masked_07992001_07992999	t2	11.7315	-1307.5522	-1295.8207	-1312.5100
NC_031969.f5.masked_08038001_08038999	t2	4.7094	-1017.5955	-1012.8851	-1017.5945
NC_031969.f5.masked_08050001_08050999	t2	.0001	-1113.2343	-1113.2342	-1113.2343
NC_031969.f5.masked_08056001_08056999	t1	6.8391	-1090.3541	-1098.3727	-1097.1932
NC_031969.f5.masked_08143001_08143999	t1	7.0213	-1071.3176	-1078.3389	-1084.3109
NC_031969.f5.masked_08181001_08181999	t1	1.6169	-1163.8434	-1165.4897	-1165.4603
NC_031969.f5.masked_08194001_08194999	t3	.0286	-1016.4806	-1016.4074	-1016.3788
NC_031969.f5.masked_08196001_08196999	t1	.0013	-1084.2523	-1084.2536	-1088.9605
NC_031969.f5.masked_08201001_08201999	t1	7.2284	-1060.5007	-1067.7312	-1067.7291
NC_031969.f5.masked_08208001_08208999	t2	1.3993	-1226.7516	-1225.3523	-1227.3169
NC_031969.f5.masked_08209001_08209999	t2	.6113	-1155.5724	-1154.8259	-1155.4372
NC_031969.f5.masked_08210001_08210999	t2	5.0295	-1183.7380	-1178.7085	-1183.7387
NC_031969.f5.masked_08218001_08218999	t1	.4373	-1119.3433	-1125.5364	-1119.7806
NC_031969.f5.masked_08221001_08221999	t2	7.6455	-1085.4336	-1077.7789	-1085.4244
NC_031969.f5.masked_08222001_08222999	t1	7.8530	-1050.2137	-1058.0807	-1058.0667
NC_031969.f5.masked_08224001_08224999	t2	7.9582	-1112.3290	-1104.3708	-1118.6229
NC_031969.f5.masked_08225001_08225999	t1	5.6685	-1226.6241	-1232.2926	-1238.5418
NC_031969.f5.masked_08227001_08227999	t3	.4937	-1019.1862	-1012.3285	-1011.8348
NC_031969.f5.masked_08230001_08230999	t3	.0485	-1035.9805	-1035.7801	-1035.7316
NC_031969.f5.masked_08236001_08236999	t2	.0338	-1114.7038	-1114.6700	-1114.7080
NC_031969.f5.masked_08273001_08273999	t1	5.6482	-1072.7271	-1078.3753	-1078.3883
NC_031969.f5.masked_08367001_08367999	t2	11.1091	-1517.1869	-1505.1779	-1516.2870
NC_031969.f5.masked_08385001_08385999	t3	3.9296	-1392.7974	-1390.1807	-1386.2511
NC_031969.f5.masked_08387001_08387999	t3	10.5212	-1134.8545	-1136.6696	-1124.3333
NC_031969.f5.masked_08389001_08389999	t2	17.2903	-1240.4429	-1223.1526	-1245.3911
NC_031969.f5.masked_08394001_08394999	t1	.0005	-1072.8612	-1072.8677	-1072.8617
NC_031969.f5.masked_08396001_08396999	t2	8.5048	-1044.0307	-1035.5259	-1047.8361
NC_031969.f5.masked_08405001_08405999	t2	.0043	-1091.9895	-1091.9816	-1091.9859
NC_031969.f5.masked_08424001_08424999	t1	.6790	-1284.2770	-1284.9560	-1284.9574
NC_031969.f5.masked_08445001_08445999	t2	.0037	-1014.6833	-1014.6590	-1014.6627
NC_031969.f5.masked_08642001_08642999	t3	.4184	-1088.9706	-1101.3882	-1088.5522
NC_031969.f5.masked_08848001_08848999	t1	12.1646	-1161.6642	-1173.8288	-1178.4980
NC_031969.f5.masked_08906001_08906999	t3	6.7150	-1161.6241	-1161.6244	-1154.9091
NC_031969.f5.masked_08907001_08907999	t3	.2460	-1060.9307	-1054.8021	-1054.5561
NC_031969.f5.masked_08908001_08908999	t3	.0082	-1425.4679	-1425.4707	-1425.4597
NC_031969.f5.masked_08909001_08909999	t1	.0011	-1131.5163	-1131.5174	-1131.5186
NC_031969.f5.masked_08924001_08924999	t2	.0019	-1125.1934	-1124.5307	-1124.5326
NC_031969.f5.masked_09064001_09064999	t1	7.6634	-1028.6880	-1036.3514	-1049.2182
NC_031969.f5.masked_09102001_09102999	t1	.1312	-1160.7000	-1160.8312	-1176.3611
NC_031969.f5.masked_09112001_09112999	t2	.4115	-1237.8268	-1235.5669	-1235.9784
NC_031969.f5.masked_09113001_09113999	t2	.0059	-1086.5875	-1086.5816	-1086.5878
NC_031969.f5.masked_09139001_09139999	t3	.0004	-1319.7043	-1319.7043	-1319.7039
NC_031969.f5.masked_09140001_09140999	t1	.0001	-1252.4136	-1252.4137	-1252.4140
NC_031969.f5.masked_09145001_09145999	t1	6.5833	-1430.6656	-1437.2489	-1437.2511
NC_031969.f5.masked_09160001_09160999	t3	.0061	-1125.6066	-1125.9688	-1125.6005
NC_031969.f5.masked_09161001_09161999	t2	.0018	-1360.5771	-1360.5753	-1360.5800
NC_031969.f5.masked_09202001_09202999	t3	2.7272	-1289.6241	-1287.4284	-1284.7012
NC_031969.f5.masked_09209001_09209999	t2	7.3836	-1061.1090	-1053.7254	-1061.1201
NC_031969.f5.masked_09248001_09248999	t3	.0001	-970.1532	-970.1554	-970.1531
NC_031969.f5.masked_09250001_09250999	t1	11.6626	-1229.2603	-1240.9654	-1240.9229
NC_031969.f5.masked_09251001_09251999	t1	12.3753	-1032.2391	-1044.7628	-1044.6144
NC_031969.f5.masked_09272001_09272999	t3	7.0468	-1240.3076	-1239.8022	-1232.7554
NC_031969.f5.masked_09273001_09273999	t3	6.1532	-1111.2415	-1111.2371	-1105.0839
NC_031969.f5.masked_09274001_09274999	t1	7.9646	-1170.0342	-1177.9988	-1185.4125
NC_031969.f5.masked_09298001_09298999	t3	12.8804	-1079.8918	-1080.1541	-1067.0114
NC_031969.f5.masked_09420001_09420999	t3	.0007	-1459.9076	-1459.9074	-1459.9067
NC_031969.f5.masked_09421001_09421999	t2	.0001	-1201.5834	-1201.5833	-1201.5850
NC_031969.f5.masked_09484001_09484999	t2	6.2418	-1212.1310	-1205.8892	-1217.3855
NC_031969.f5.masked_09500001_09500999	t1	12.8765	-1271.5306	-1286.3014	-1284.4071
NC_031969.f5.masked_09503001_09503999	t2	13.0616	-1263.6026	-1250.5410	-1263.6036
NC_031969.f5.masked_09504001_09504999	t3	13.1699	-1020.8933	-1022.0330	-1007.7234
NC_031969.f5.masked_09515001_09515999	t1	1.5885	-1481.8847	-1483.4732	-1488.1428
NC_031969.f5.masked_09521001_09521999	t2	.0003	-1049.7804	-1049.7801	-1050.3583
NC_031969.f5.masked_09532001_09532999	t3	18.8256	-1145.4373	-1150.7968	-1126.6117
NC_031969.f5.masked_09533001_09533999	t1	.0009	-1069.4871	-1069.4880	-1069.4883
NC_031969.f5.masked_09547001_09547999	t1	.0004	-1063.5123	-1063.5127	-1063.5130
NC_031969.f5.masked_09593001_09593999	t1	.0008	-1037.7155	-1037.7163	-1037.7172
NC_031969.f5.masked_09615001_09615999	t3	8.1786	-1067.3881	-1067.3850	-1059.2064
NC_031969.f5.masked_09649001_09649999	t1	9.4812	-1407.0993	-1416.5805	-1418.1958
NC_031969.f5.masked_09651001_09651999	t2	.0016	-1096.3403	-1096.3387	-1097.1590
NC_031969.f5.masked_09679001_09679999	t2	.0002	-1110.0997	-1110.0995	-1110.0997
NC_031969.f5.masked_09682001_09682999	t1	.0002	-1086.4340	-1086.4348	-1086.4342
NC_031969.f5.masked_09683001_09683999	t1	7.3594	-1075.4710	-1082.8309	-1082.8304
NC_031969.f5.masked_09701001_09701999	t1	37.8595	-1256.0956	-1293.9551	-1293.9560
NC_031969.f5.masked_09735001_09735999	t2	3.5530	-1326.7288	-1319.8831	-1323.4361
NC_031969.f5.masked_09788001_09788999	t3	.0007	-1240.4345	-1240.4345	-1240.4338
NC_031969.f5.masked_09789001_09789999	t2	7.7793	-1405.6542	-1397.8749	-1406.0430
NC_031969.f5.masked_09793001_09793999	t1	.0009	-978.8930	-978.8939	-978.8949
NC_031969.f5.masked_09795001_09795999	t1	.0005	-1410.6983	-1410.6991	-1410.6988
NC_031969.f5.masked_09803001_09803999	t3	.0016	-1050.0082	-1050.0086	-1050.0066
NC_031969.f5.masked_09808001_09808999	t1	.0522	-1092.4539	-1092.5061	-1099.0722
NC_031969.f5.masked_09811001_09811999	t3	.0012	-1079.7661	-1079.7660	-1079.7648
NC_031969.f5.masked_09814001_09814999	t1	1.3112	-1042.4773	-1050.9248	-1043.7885
NC_031969.f5.masked_09823001_09823999	t1	.0006	-1057.8717	-1057.8723	-1064.2321
NC_031969.f5.masked_09826001_09826999	t3	.0048	-1048.5825	-1033.9454	-1033.9406
NC_031969.f5.masked_09831001_09831999	t3	.0006	-1025.1566	-1025.1561	-1025.1555
NC_031969.f5.masked_09834001_09834999	t2	6.2835	-1363.4200	-1357.0975	-1363.3810
NC_031969.f5.masked_09835001_09835999	t3	.0002	-1284.9437	-1284.9431	-1284.9429
NC_031969.f5.masked_09840001_09840999	t2	5.7230	-1099.8213	-1094.0983	-1099.8224
NC_031969.f5.masked_09854001_09854999	t1	7.7934	-1051.9189	-1059.7123	-1062.4342
NC_031969.f5.masked_09875001_09875999	t1	6.1490	-1175.5673	-1181.7163	-1184.4387
NC_031969.f5.masked_09966001_09966999	t1	.0003	-1195.2693	-1195.2696	-1195.2711
NC_031969.f5.masked_09967001_09967999	t3	.2347	-1532.2786	-1532.2283	-1531.9936
NC_031969.f5.masked_09968001_09968999	t1	.0001	-1125.0220	-1125.0221	-1125.0237
NC_031969.f5.masked_09973001_09973999	t1	.0219	-1079.3292	-1079.3511	-1079.3929
NC_031969.f5.masked_09974001_09974999	t2	9.4894	-1307.2186	-1297.7292	-1308.6300
NC_031969.f5.masked_09976001_09976999	t1	12.2743	-1195.1655	-1207.4398	-1217.8878
NC_031969.f5.masked_09993001_09993999	t3	.0058	-1030.7377	-1030.7377	-1030.7319
NC_031969.f5.masked_09995001_09995999	t1	4.5317	-1038.7598	-1043.2915	-1053.3048
NC_031969.f5.masked_10021001_10021999	t2	.6233	-1139.9523	-1139.2957	-1139.9190
NC_031969.f5.masked_10022001_10022999	t2	.0010	-1046.7142	-1046.7067	-1046.7077
NC_031969.f5.masked_10023001_10023999	t1	.0006	-996.7667	-996.7673	-996.7674
NC_031969.f5.masked_10170001_10170999	t2	.0004	-1090.8356	-1090.8137	-1090.8141
NC_031969.f5.masked_10204001_10204999	t2	.3517	-1068.6923	-1068.3406	-1074.4463
NC_031969.f5.masked_10221001_10221999	t3	4.5378	-1077.3758	-1078.8533	-1072.8380
NC_031969.f5.masked_10237001_10237999	t3	9.0876	-1170.0775	-1170.7671	-1160.9899
NC_031969.f5.masked_10262001_10262999	t1	1.0102	-1488.4303	-1494.6772	-1489.4405
NC_031969.f5.masked_10263001_10263999	t3	.0026	-1465.5604	-1465.5531	-1465.5505
NC_031969.f5.masked_10312001_10312999	t2	.0030	-1054.7827	-1049.7083	-1049.7113
NC_031969.f5.masked_10313001_10313999	t2	8.4230	-1066.2484	-1057.8250	-1066.2480
NC_031969.f5.masked_10375001_10375999	t2	15.2873	-1043.0255	-1023.8797	-1039.1670
NC_031969.f5.masked_10378001_10378999	t2	.0062	-991.4810	-991.4748	-992.1904
NC_031969.f5.masked_10397001_10397999	t1	.0001	-1051.0488	-1051.0489	-1051.0489
NC_031969.f5.masked_10410001_10410999	t1	7.5326	-1116.4473	-1123.9859	-1123.9799
NC_031969.f5.masked_10513001_10513999	t3	.0068	-1488.1027	-1488.1028	-1488.0959
NC_031969.f5.masked_10514001_10514999	t1	.0219	-1358.5020	-1358.5239	-1366.4157
NC_031969.f5.masked_10518001_10518999	t2	.0260	-1087.9155	-1087.8718	-1087.8978
NC_031969.f5.masked_10519001_10519999	t2	6.6097	-1317.6387	-1311.0290	-1317.6388
NC_031969.f5.masked_10536001_10536999	t3	.0004	-1196.3901	-1196.3862	-1196.3858
NC_031969.f5.masked_10537001_10537999	t1	8.3812	-1316.0355	-1324.4167	-1329.2695
NC_031969.f5.masked_10561001_10561999	t1	.0004	-973.8469	-973.8474	-973.8473
NC_031969.f5.masked_10563001_10563999	t3	6.1656	-1056.3162	-1054.9298	-1048.7642
