chr	windowStart	windowEnd	D	f_d	f_dM
scaffold_18	37499	44594	-0.909019	-1.991297	-0.575019
scaffold_18	37526	44741	-0.910020	-1.966044	-0.582642
scaffold_18	37567	44835	-0.908290	-2.037736	-0.585744
scaffold_18	37568	44869	-0.906492	-1.994609	-0.580544
scaffold_18	38592	44940	-0.904623	-1.923826	-0.572634
scaffold_18	38613	44971	-0.903660	-2.299786	-0.602018
scaffold_18	38654	45053	-0.902677	-2.274090	-0.599154
scaffold_18	38660	45092	-0.893893	-2.181818	-0.590220
scaffold_18	38731	45173	-0.891641	-2.131078	-0.584517
scaffold_18	38775	45445	-0.888790	-2.051546	-0.572662
scaffold_18	38795	45453	-0.884182	-1.981818	-0.565255
scaffold_18	38964	45482	-0.893316	-2.071869	-0.576078
scaffold_18	38986	45564	-0.893316	-2.314220	-0.594229
scaffold_18	39151	45611	-0.893316	-2.316877	-0.594404
scaffold_18	39221	45802	-0.893316	-2.316877	-0.594404
scaffold_18	39553	45829	-0.894437	-2.493284	-0.606655
scaffold_18	39671	45907	-0.894698	-2.748318	-0.621992
scaffold_18	39689	45938	-0.899957	-2.972973	-0.633141
scaffold_18	39753	46010	-0.905887	-2.960674	-0.635897
scaffold_18	39828	46037	-0.913062	-3.140299	-0.643819
scaffold_18	39869	46052	-0.917739	-3.177177	-0.648284
scaffold_18	40042	46128	-0.928990	-3.147321	-0.647779
scaffold_18	40048	46138	-0.933493	-3.312874	-0.659220
scaffold_18	40272	46181	-0.936258	-3.316716	-0.661597
scaffold_18	40304	46494	-0.938103	-3.128686	-0.651228
scaffold_18	40312	46507	-0.938103	-3.000000	-0.645465
scaffold_18	40396	46613	-0.957803	-2.830588	-0.644004
scaffold_18	40599	46739	-0.958136	-2.731982	-0.646244
scaffold_18	40710	46867	-0.941200	-2.673815	-0.650467
scaffold_18	40711	47155	-0.915970	-2.371134	-0.634483
scaffold_18	40713	47173	-0.903173	-2.232179	-0.619034
scaffold_18	40746	47270	-0.882231	-2.107356	-0.602786
scaffold_18	40771	47317	-0.870842	-1.972603	-0.586387
scaffold_18	41070	48491	-0.861809	-1.936399	-0.581888
scaffold_18	41357	48711	-0.858607	-1.898522	-0.573512
scaffold_18	41383	48750	-0.848846	-1.962406	-0.574709
scaffold_18	41397	48813	-0.838214	-1.814076	-0.556379
scaffold_18	41473	48924	-0.826588	-1.627000	-0.532395
scaffold_18	41510	48960	-0.825880	-1.637007	-0.529951
scaffold_18	41556	48969	-0.813921	-1.484330	-0.508955
scaffold_18	41682	48976	-0.800182	-1.368569	-0.489789
scaffold_18	41937	49000	-0.804460	-1.518182	-0.507256
scaffold_18	43923	49043	-0.789829	-1.434560	-0.491763
scaffold_18	43993	49073	-0.787436	-1.528177	-0.504009
scaffold_18	44024	49163	-0.787919	-1.408122	-0.492893
scaffold_18	44238	49304	-0.776272	-1.217668	-0.466179
scaffold_18	44397	49411	-0.779347	-1.290047	-0.477711
scaffold_18	44435	49417	-0.807328	-1.449900	-0.504006
scaffold_18	44437	49436	-0.812760	-1.509567	-0.516540
scaffold_18	44594	49480	-0.817509	-1.543912	-0.524407
scaffold_18	44741	49525	-0.805282	-1.521526	-0.528014
scaffold_18	44835	49611	-0.805282	-1.517073	-0.527476
scaffold_18	44869	49780	-0.805282	-1.517073	-0.528912
scaffold_18	44940	49789	-0.809234	-1.572978	-0.533802
scaffold_18	44971	50122	-0.809234	-1.497653	-0.525016
scaffold_18	45053	50183	-0.804144	-1.499065	-0.525557
scaffold_18	45092	50322	-0.806473	-1.499079	-0.515843
scaffold_18	45173	50328	-0.814030	-1.532710	-0.520305
scaffold_18	45445	50483	-0.803988	-1.337268	-0.492547
scaffold_18	45453	50566	-0.812984	-1.417230	-0.508331
scaffold_18	45482	50600	-0.822201	-1.516045	-0.521324
scaffold_18	45564	50701	-0.814951	-1.455403	-0.511453
scaffold_18	45611	50717	-0.807877	-1.438837	-0.508772
scaffold_18	45802	50776	-0.800164	-1.381033	-0.498777
scaffold_18	45829	51055	-0.792934	-1.328947	-0.491036
scaffold_18	45907	51069	-0.784723	-1.258039	-0.478447
scaffold_18	45938	51374	-0.780671	-1.211344	-0.470287
scaffold_18	46010	51580	-0.776645	-1.195447	-0.458321
scaffold_18	46037	51772	-0.776645	-1.180620	-0.456125
scaffold_18	46052	51798	-0.787444	-1.245504	-0.467018
scaffold_18	46128	51889	-0.795116	-1.240982	-0.467476
scaffold_18	46138	51901	-0.795317	-1.271799	-0.462968
scaffold_18	46181	51907	-0.787162	-1.229848	-0.449927
scaffold_18	46494	51919	-0.783229	-1.261690	-0.450234
scaffold_18	46507	52242	-0.777797	-1.259510	-0.450832
scaffold_18	46613	52280	-0.766412	-1.233677	-0.443484
scaffold_18	46739	52438	-0.692833	-1.146087	-0.414987
scaffold_18	46867	52476	-0.672827	-1.107018	-0.406310
scaffold_18	47155	54626	-0.680893	-1.155455	-0.401961
scaffold_18	47173	55911	-0.702805	-1.209842	-0.418164
scaffold_18	47270	56032	-0.715848	-1.268827	-0.418028
scaffold_18	47317	56163	-0.708497	-1.210430	-0.388090
scaffold_18	48491	56164	-0.699628	-1.199635	-0.385698
scaffold_18	48711	56180	-0.661695	-1.078970	-0.362352
scaffold_18	48750	56181	-0.611977	-0.958059	-0.336900
scaffold_18	48813	56184	-0.624850	-1.045533	-0.344077
scaffold_18	48924	56250	-0.533516	-0.873810	-0.293287
scaffold_18	48960	56255	-0.544460	-0.962994	-0.302270
scaffold_18	48969	56396	-0.516309	-0.853659	-0.282106
scaffold_18	48976	56399	-0.514104	-0.870033	-0.284054
scaffold_18	49000	56490	-0.509452	-0.875104	-0.284592
scaffold_18	49043	56576	-0.486392	-0.799835	-0.268232
scaffold_18	49073	56582	-0.484773	-0.824278	-0.270926
scaffold_18	49163	56614	-0.447459	-0.735008	-0.250830
scaffold_18	49304	56789	-0.426848	-0.712846	-0.235506
scaffold_18	49411	56907	-0.423984	-0.758528	-0.236231
scaffold_18	49417	56909	-0.395132	-0.681859	-0.217379
scaffold_18	49436	56918	-0.366400	-0.594805	-0.198383
scaffold_18	49480	57008	-0.344145	-0.549605	-0.182295
scaffold_18	49525	57079	-0.292877	-0.433024	-0.152296
scaffold_18	49611	57092	-0.299480	-0.459627	-0.154535
scaffold_18	49780	57130	-0.286275	-0.452093	-0.146695
scaffold_18	49789	57131	-0.272564	-0.430332	-0.138120
scaffold_18	50122	57144	-0.246847	-0.380497	-0.121527
scaffold_18	50183	57225	-0.218228	-0.345035	-0.108244
scaffold_18	50322	57380	-0.215480	-0.349322	-0.104426
scaffold_18	50328	57434	-0.187991	-0.295572	-0.092372
scaffold_18	50483	57940	-0.179426	-0.285566	-0.088652
scaffold_18	50566	57953	-0.121405	-0.206283	-0.063672
scaffold_18	50600	58140	-0.042156	-0.068507	-0.022274
scaffold_18	50701	58206	-0.014246	-0.022518	-0.007370
scaffold_18	50717	58646	-0.012876	-0.019960	-0.006638
scaffold_18	50776	58742	0.007965	0.012000	0.003942
scaffold_18	51055	58985	0.079515	0.116007	0.040875
scaffold_18	51069	59201	0.113018	0.162749	0.057766
scaffold_18	51374	59267	0.110040	0.159672	0.054551
scaffold_18	51580	59347	0.116414	0.172988	0.058584
scaffold_18	51772	59430	0.117708	0.174838	0.057975
scaffold_18	51798	59476	0.145532	0.215705	0.069576
scaffold_18	51889	59488	0.202292	0.278182	0.094532
scaffold_18	51901	60100	0.243031	0.326030	0.113070
scaffold_18	51907	60211	0.261814	0.323344	0.122865
scaffold_18	51919	60262	0.277419	0.332817	0.129635
scaffold_18	52242	60286	0.308319	0.360896	0.142291
scaffold_18	52280	60362	0.338949	0.418818	0.157384
scaffold_18	52438	60651	0.362159	0.432453	0.169610
scaffold_18	52476	60725	0.301400	0.387650	0.138269
scaffold_18	54626	61294	0.289868	0.374350	0.130869
scaffold_18	55911	61296	0.276903	0.361111	0.129393
scaffold_18	56032	61413	0.269205	0.357587	0.125859
scaffold_18	56163	61723	0.275414	0.361233	0.126076
scaffold_18	56164	63162	0.239081	0.329609	0.116142
scaffold_18	56180	64219	0.238613	0.317935	0.113519
scaffold_18	56181	64513	0.215137	0.287184	0.100392
scaffold_18	56184	65682	0.218643	0.291857	0.103236
scaffold_18	56250	65889	0.301672	0.370583	0.146239
scaffold_18	56255	66726	0.219442	0.268357	0.105029
scaffold_18	56396	66968	0.275210	0.315226	0.132480
scaffold_18	56399	67703	0.286328	0.333056	0.138744
scaffold_18	56490	67806	0.303323	0.358996	0.148238
scaffold_18	56576	68163	0.299108	0.346032	0.147198
scaffold_18	56582	68667	0.336823	0.365747	0.164330
scaffold_18	56614	69874	0.332960	0.299336	0.145882
scaffold_18	56789	70140	0.323640	0.279793	0.139415
scaffold_18	56907	70297	0.304244	0.261504	0.134682
scaffold_18	56909	70548	0.300591	0.260672	0.134627
scaffold_18	56918	70841	0.256137	0.230947	0.115774
scaffold_18	57008	70946	0.253268	0.228141	0.113873
scaffold_18	57079	71281	0.279878	0.241653	0.123696
scaffold_18	57092	71677	0.269307	0.218650	0.114736
scaffold_18	57130	71803	0.287478	0.223560	0.119809
scaffold_18	57131	71822	0.297083	0.224615	0.123450
scaffold_18	57144	71889	0.316935	0.234642	0.131638
scaffold_18	57225	72520	0.314111	0.231964	0.130166
scaffold_18	57380	72528	0.257348	0.201020	0.108960
scaffold_18	57434	72549	0.269744	0.208948	0.116003
scaffold_18	57940	72558	0.256847	0.205487	0.112433
scaffold_18	57953	73059	0.286829	0.222973	0.121806
scaffold_18	58140	73444	0.243821	0.174490	0.095397
scaffold_18	58206	73647	0.253738	0.178942	0.096585
scaffold_18	58646	74082	0.274533	0.189427	0.104144
scaffold_18	58742	74098	0.264518	0.187311	0.100541
scaffold_18	58985	74932	0.254704	0.172233	0.093475
scaffold_18	59201	76064	0.184852	0.118753	0.063108
scaffold_18	59267	76273	0.153571	0.101523	0.052701
scaffold_18	59347	76583	0.134407	0.091189	0.048108
scaffold_18	59430	77753	0.101183	0.069755	0.035629
scaffold_18	59476	77900	0.143164	0.097324	0.052729
scaffold_18	59488	78255	0.211898	0.145747	0.080192
scaffold_18	60100	78377	0.246827	0.171290	0.096049
scaffold_18	60211	80475	0.232212	0.140399	0.080295
scaffold_18	60262	81019	0.218530	0.132719	0.075091
scaffold_18	60286	81989	0.211092	0.128041	0.069301
scaffold_18	60362	82304	0.224342	0.133673	0.073460
scaffold_18	60651	86231	0.239057	0.133215	0.076844
scaffold_18	60725	86384	0.193158	0.109982	0.062720
scaffold_18	61294	86858	0.202016	0.112424	0.065594
scaffold_18	61296	88550	0.205895	0.113483	0.066722
scaffold_18	61413	91628	0.213819	0.112063	0.066114
scaffold_18	61723	91756	0.221546	0.116518	0.068924
scaffold_18	63162	93510	0.191623	0.100793	0.061208
scaffold_18	64219	93583	0.180901	0.096668	0.058765
scaffold_18	64513	93590	0.147620	0.081858	0.049296
scaffold_18	65682	94221	0.147442	0.080805	0.048912
scaffold_18	65889	94232	0.118537	0.063599	0.038173
scaffold_18	66726	94233	0.038265	0.020841	0.012270
scaffold_18	66968	97076	0.055627	0.030228	0.017758
scaffold_18	67703	101444	0.006452	0.003218	0.001920
scaffold_18	67806	101702	-0.002576	-0.001263	-0.000760
scaffold_18	68163	101741	-0.018317	-0.008844	-0.005339
scaffold_18	68667	103731	-0.022469	-0.010277	-0.006196
scaffold_18	69874	103925	-0.078363	-0.036676	-0.021553
scaffold_18	70140	104023	-0.062584	-0.033143	-0.018926
scaffold_18	70297	104284	-0.082296	-0.044436	-0.024895
scaffold_18	70548	105807	-0.040063	-0.022040	-0.012297
scaffold_18	70841	106090	-0.056869	-0.031740	-0.017679
scaffold_18	70946	110542	-0.008768	-0.004646	-0.002658
scaffold_18	71281	115374	-0.022079	-0.010924	-0.006374
scaffold_18	71677	115837	-0.022642	-0.011479	-0.006533
scaffold_18	71803	116132	0.028620	0.015437	0.008719
scaffold_18	71822	116195	0.033722	0.018232	0.010327
scaffold_18	71889	116291	0.035639	0.019397	0.010940
scaffold_18	72520	118571	-0.017164	-0.009649	-0.005237
scaffold_18	72528	118720	0.015512	0.008059	0.004599
scaffold_18	72549	118762	0.071489	0.035176	0.020653
scaffold_18	72558	119249	0.060433	0.029743	0.017476
scaffold_18	73059	122526	0.056057	0.026663	0.015536
scaffold_18	73444	122579	0.060000	0.028020	0.016589
scaffold_18	73647	122590	0.059113	0.029114	0.016862
scaffold_18	74082	122635	0.017493	0.008564	0.004935
scaffold_18	74098	122661	0.008478	0.004243	0.002455
scaffold_18	74932	122700	0.000635	0.000316	0.000186
scaffold_18	76064	122736	-0.001899	-0.000989	-0.000575
scaffold_18	76273	123002	0.001259	0.000663	0.000385
scaffold_18	76583	123068	0.015117	0.007939	0.004650
scaffold_18	77753	123326	0.015117	0.007908	0.004637
scaffold_18	77900	123847	0.020257	0.010667	0.006317
scaffold_18	78255	124811	-0.034128	-0.017839	-0.010475
scaffold_18	78377	127311	-0.103472	-0.050999	-0.030541
scaffold_18	80475	127956	-0.129537	-0.063927	-0.037972
scaffold_18	81019	129631	-0.104384	-0.056370	-0.033769
scaffold_18	81989	129952	-0.098955	-0.053686	-0.032018
scaffold_18	82304	130173	-0.092877	-0.050532	-0.031561
scaffold_18	86231	130174	-0.101480	-0.055215	-0.034384
scaffold_18	86384	130823	-0.136789	-0.079531	-0.047943
scaffold_18	86858	131396	-0.149298	-0.084413	-0.050665
scaffold_18	88550	131893	-0.139194	-0.079564	-0.047763
scaffold_18	91628	132089	-0.139518	-0.081573	-0.049299
scaffold_18	91756	133720	-0.133897	-0.081093	-0.049197
scaffold_18	93510	134109	-0.162032	-0.099408	-0.059134
scaffold_18	93583	135262	-0.104172	-0.062239	-0.037788
scaffold_18	93590	138180	-0.080810	-0.047123	-0.028893
scaffold_18	94221	138410	-0.047853	-0.027106	-0.016774
scaffold_18	94232	140090	-0.040893	-0.023117	-0.014435
scaffold_18	94233	140846	-0.024845	-0.013761	-0.008687
scaffold_18	97076	140894	-0.027952	-0.015396	-0.009620
scaffold_18	101444	142773	-0.023660	-0.012884	-0.008040
scaffold_18	101702	142986	0.001428	0.000859	0.000524
scaffold_18	101741	144588	-0.000000	-0.000000	-0.000000
scaffold_18	103731	145924	-0.042303	-0.026212	-0.015480
scaffold_18	103925	146482	-0.078064	-0.051654	-0.029874
scaffold_18	104023	146545	-0.087897	-0.057906	-0.033898
scaffold_18	104284	146624	-0.104530	-0.067054	-0.039144
scaffold_18	105807	146722	-0.088375	-0.056943	-0.033514
scaffold_18	106090	146927	-0.118616	-0.075134	-0.044176
scaffold_18	110542	147054	-0.084726	-0.053121	-0.031562
scaffold_18	115374	147610	-0.106911	-0.068805	-0.040459
scaffold_18	115837	147735	-0.112042	-0.081761	-0.046222
scaffold_18	116132	147878	-0.141218	-0.103024	-0.060090
scaffold_18	116195	148009	-0.212288	-0.155708	-0.089291
scaffold_18	116291	148172	-0.215505	-0.160063	-0.091513
scaffold_18	118571	148210	-0.214185	-0.161461	-0.092312
scaffold_18	118720	148445	-0.163730	-0.119251	-0.072591
scaffold_18	118762	148735	-0.178306	-0.142687	-0.083189
scaffold_18	119249	148908	-0.197211	-0.160878	-0.091986
scaffold_18	122526	149481	-0.229446	-0.191159	-0.105506
scaffold_18	122579	149487	-0.274201	-0.256151	-0.135469
scaffold_18	122590	150981	-0.293134	-0.281905	-0.139843
scaffold_18	122635	151328	-0.293020	-0.277431	-0.139149
scaffold_18	122661	155068	-0.290044	-0.199543	-0.110914
scaffold_18	122700	158697	-0.237897	-0.145791	-0.083991
scaffold_18	122736	161645	-0.227344	-0.133465	-0.077365
scaffold_18	123002	162407	-0.215012	-0.122868	-0.073176
scaffold_18	123068	162417	-0.163518	-0.095401	-0.057398
scaffold_18	123326	163720	-0.166923	-0.095725	-0.057631
scaffold_18	123847	164833	-0.125678	-0.070182	-0.043042
scaffold_18	124811	164888	-0.107726	-0.058992	-0.036553
scaffold_18	127311	165287	-0.051669	-0.028184	-0.017689
scaffold_18	127956	165432	-0.041772	-0.022885	-0.014458
scaffold_18	129631	165570	-0.059380	-0.032497	-0.020291
scaffold_18	129952	165696	-0.087456	-0.049568	-0.030275
scaffold_18	130173	166271	-0.090591	-0.051899	-0.031739
scaffold_18	130174	166398	-0.096649	-0.055826	-0.034127
scaffold_18	130823	166703	-0.094340	-0.055741	-0.034184
scaffold_18	131396	166790	-0.073171	-0.042952	-0.026615
scaffold_18	131893	166928	-0.056365	-0.033110	-0.020545
scaffold_18	132089	168094	-0.043702	-0.024963	-0.015500
scaffold_18	133720	168710	0.008872	0.005020	0.003152
scaffold_18	134109	170278	0.011356	0.006417	0.003981
scaffold_18	135262	172623	0.062646	0.034678	0.022037
scaffold_18	138180	174185	0.038150	0.021152	0.013306
scaffold_18	138410	174226	0.022305	0.012454	0.007779
scaffold_18	140090	175226	0.022305	0.012445	0.007750
scaffold_18	140846	175734	0.018464	0.010437	0.006412
scaffold_18	140894	177481	0.009727	0.005253	0.003233
scaffold_18	142773	179775	0.026849	0.013869	0.008704
scaffold_18	142986	182045	0.083814	0.043902	0.027589
scaffold_18	144588	184209	0.095070	0.047509	0.030425
scaffold_18	145924	186320	0.125106	0.060382	0.039757
scaffold_18	146482	190827	0.091660	0.042886	0.028223
scaffold_18	146545	191569	0.138307	0.063916	0.042357
scaffold_18	146624	191664	0.146218	0.068115	0.044987
scaffold_18	146722	192561	0.175336	0.083072	0.055386
scaffold_18	146927	192905	0.206569	0.096640	0.064552
scaffold_18	147054	193136	0.199692	0.095264	0.063650
scaffold_18	147610	193548	0.189859	0.091561	0.061041
scaffold_18	147735	193551	0.193874	0.095475	0.063685
scaffold_18	147878	194172	0.228083	0.112426	0.075793
scaffold_18	148009	195331	0.259658	0.124666	0.084451
scaffold_18	148172	196740	0.269811	0.126613	0.085777
scaffold_18	148210	197278	0.277872	0.129894	0.088182
scaffold_18	148445	197280	0.286810	0.133351	0.091071
scaffold_18	148735	197370	0.265640	0.124869	0.084830
scaffold_18	148908	197434	0.270360	0.127415	0.086632
scaffold_18	149481	198325	0.262562	0.121697	0.082600
scaffold_18	149487	199017	0.309124	0.140700	0.098381
scaffold_18	150981	199619	0.392168	0.166874	0.120705
scaffold_18	151328	202191	0.395431	0.161987	0.120364
scaffold_18	155068	202451	0.398215	0.164305	0.122713
scaffold_18	158697	202460	0.409374	0.197862	0.148316
scaffold_18	161645	202763	0.371270	0.194880	0.144970
scaffold_18	162407	202922	0.372911	0.201369	0.149423
scaffold_18	162417	202924	0.346523	0.193742	0.142326
scaffold_18	163720	202928	0.294433	0.167101	0.120536
scaffold_18	164833	202929	0.297885	0.169707	0.122559
scaffold_18	164888	202970	0.282799	0.164184	0.117718
scaffold_18	165287	203512	0.278501	0.162640	0.116443
scaffold_18	165432	203647	0.242905	0.144630	0.101822
scaffold_18	165570	203799	0.221409	0.135538	0.092190
scaffold_18	165696	205405	0.217383	0.130278	0.083662
scaffold_18	166271	206281	0.223925	0.134216	0.086326
scaffold_18	166398	206477	0.245125	0.148057	0.095597
scaffold_18	166703	208151	0.236842	0.138225	0.090080
scaffold_18	166790	208292	0.252849	0.145473	0.094828
scaffold_18	166928	208301	0.241754	0.141519	0.090950
scaffold_18	168094	208574	0.245331	0.144094	0.092733
scaffold_18	168710	209574	0.273343	0.159106	0.105195
scaffold_18	170278	209655	0.278235	0.164456	0.108439
scaffold_18	172623	209887	0.261138	0.155207	0.102288
scaffold_18	174185	211386	0.216808	0.122392	0.080998
scaffold_18	174226	211723	0.214718	0.123145	0.081199
scaffold_18	175226	211802	0.204952	0.114268	0.076271
scaffold_18	175734	212010	0.199855	0.107814	0.072846
scaffold_18	177481	214439	0.200714	0.103334	0.071050
scaffold_18	179775	216799	0.180287	0.095359	0.065520
scaffold_18	182045	220401	0.220734	0.113710	0.078947
scaffold_18	184209	220562	0.187067	0.096033	0.067865
scaffold_18	186320	220728	0.185027	0.098017	0.068678
scaffold_18	190827	223085	0.163557	0.089543	0.061774
scaffold_18	191569	224133	0.230058	0.125989	0.087569
scaffold_18	191664	224142	0.220141	0.119936	0.083556
scaffold_18	192561	224277	0.246411	0.130586	0.091862
scaffold_18	192905	224984	0.224796	0.116521	0.081424
scaffold_18	193136	224991	0.171835	0.090445	0.062721
scaffold_18	193548	225089	0.133333	0.070294	0.048451
scaffold_18	193551	225111	0.101504	0.053982	0.037147
scaffold_18	194172	226246	0.091374	0.047970	0.032048
scaffold_18	195331	226622	0.089160	0.047231	0.031577
scaffold_18	196740	230332	0.082745	0.041965	0.027641
scaffold_18	197278	231373	0.093930	0.047343	0.031424
scaffold_18	197280	232677	0.083624	0.041585	0.027107
scaffold_18	197370	232985	0.074833	0.036964	0.023962
scaffold_18	197434	233192	0.074090	0.036953	0.023785
scaffold_18	198325	234709	0.059870	0.029123	0.018722
scaffold_18	199017	237984	0.068545	0.032803	0.021220
scaffold_18	199619	242330	0.031901	0.015056	0.009606
scaffold_18	202191	242505	0.014512	0.006964	0.004397
scaffold_18	202451	242576	0.043081	0.021862	0.013759
scaffold_18	202460	242806	0.039735	0.019947	0.012523
scaffold_18	202763	243025	0.042497	0.020793	0.013163
scaffold_18	202922	243046	0.040897	0.020000	0.012692
scaffold_18	202924	243651	0.024422	0.012018	0.007629
scaffold_18	202928	244422	0.056185	0.026825	0.017135
scaffold_18	202929	244765	0.090226	0.041795	0.027065
scaffold_18	202970	244767	0.098771	0.045914	0.029774
scaffold_18	203512	246001	0.082210	0.038485	0.024823
scaffold_18	203647	246303	0.046576	0.022304	0.014249
scaffold_18	203799	249970	0.053571	0.024940	0.016142
scaffold_18	205405	250054	0.073408	0.033148	0.022092
scaffold_18	206281	250256	0.064038	0.029132	0.020277
scaffold_18	206477	250544	0.056019	0.025358	0.017653
scaffold_18	208151	251054	0.033318	0.014759	0.010253
scaffold_18	208292	251594	0.000658	0.000314	0.000208
scaffold_18	208301	254604	-0.007379	-0.003436	-0.002277
scaffold_18	208574	255821	0.024821	0.009322	0.006217
scaffold_18	209574	255945	0.062554	0.023641	0.015941
scaffold_18	209655	255999	0.012289	0.004488	0.002960
scaffold_18	209887	256000	-0.031369	-0.010870	-0.007192
scaffold_18	211386	256007	-0.004259	-0.001448	-0.000976
scaffold_18	211723	256036	0.064998	0.022129	0.015063
scaffold_18	211802	258950	0.064130	0.020115	0.014061
scaffold_18	212010	263786	0.075594	0.024038	0.016624
scaffold_18	214439	263837	0.070050	0.023081	0.015730
scaffold_18	216799	264325	0.090973	0.031723	0.021424
scaffold_18	220401	264700	0.106458	0.037538	0.025253
scaffold_18	220562	264823	0.068098	0.024397	0.016257
scaffold_18	220728	264916	0.061209	0.021840	0.014412
scaffold_18	223085	265214	0.049796	0.017981	0.011682
scaffold_18	224133	265286	0.032992	0.012174	0.007858
scaffold_18	224142	265634	0.008867	0.003417	0.002209
scaffold_18	224277	265954	-0.003620	-0.001429	-0.000915
scaffold_18	224984	266268	-0.007983	-0.003125	-0.002005
scaffold_18	224991	266283	-0.032311	-0.013184	-0.008387
scaffold_18	225089	267237	-0.077463	-0.032013	-0.019840
scaffold_18	225111	267681	-0.038253	-0.015486	-0.009485
scaffold_18	226246	268660	-0.029462	-0.011703	-0.007024
scaffold_18	226622	268677	-0.040068	-0.016044	-0.009806
scaffold_18	230332	269791	-0.070848	-0.026648	-0.016399
scaffold_18	231373	269934	-0.069662	-0.027761	-0.017113
scaffold_18	232677	270362	-0.087143	-0.033636	-0.020665
scaffold_18	232985	271181	-0.022912	-0.008801	-0.005624
scaffold_18	233192	274483	-0.014231	-0.004689	-0.003131
scaffold_18	234709	275117	0.001490	0.000457	0.000312
scaffold_18	237984	278455	-0.041057	-0.012611	-0.008406
scaffold_18	242330	278900	-0.027959	-0.008664	-0.005820
scaffold_18	242505	279042	-0.058034	-0.018893	-0.012476
scaffold_18	242576	280197	-0.035326	-0.011012	-0.007356
scaffold_18	242806	280239	-0.056865	-0.017551	-0.011567
scaffold_18	243025	283368	-0.099476	-0.032095	-0.021026
scaffold_18	243046	283761	-0.150956	-0.048734	-0.031696
scaffold_18	243651	283964	-0.182654	-0.058171	-0.037782
scaffold_18	244422	288996	-0.174482	-0.053405	-0.034917
scaffold_18	244765	289685	-0.189356	-0.059371	-0.038580
scaffold_18	244767	289847	-0.186225	-0.058592	-0.038043
scaffold_18	246001	289869	-0.183111	-0.057776	-0.037510
scaffold_18	246303	290521	-0.186127	-0.059553	-0.038647
scaffold_18	249970	290539	-0.157615	-0.049201	-0.032092
scaffold_18	250054	304568	-0.139917	-0.043144	-0.028324
scaffold_18	250256	306647	-0.138421	-0.042463	-0.027940
scaffold_18	250544	306713	-0.135230	-0.040266	-0.026889
scaffold_18	251054	306716	-0.137470	-0.040757	-0.027238
scaffold_18	251594	307310	-0.128562	-0.038260	-0.025604
scaffold_18	254604	307413	-0.068044	-0.019427	-0.013390
scaffold_18	255821	307508	-0.091557	-0.026690	-0.018269
scaffold_18	255945	307577	-0.111312	-0.037324	-0.025709
scaffold_18	255999	307578	-0.157895	-0.052582	-0.035869
scaffold_18	256000	307812	-0.137436	-0.047312	-0.032534
scaffold_18	256007	310491	-0.169131	-0.059281	-0.040311
scaffold_18	256036	310874	-0.167513	-0.060124	-0.040590
scaffold_18	258950	311487	-0.205910	-0.074265	-0.049527
scaffold_18	263786	311985	-0.212552	-0.084429	-0.054374
scaffold_18	263837	312029	-0.200199	-0.078020	-0.050642
scaffold_18	264325	312684	-0.179213	-0.070507	-0.046328
scaffold_18	264700	316942	-0.178642	-0.069902	-0.045825
