chr	windowStart	windowEnd	D	f_d	f_dM	d_f
scaffold_18	482344	543705	0.005149	0.002013	0.001298	0.004447
scaffold_18	499411	546506	0.039489	0.017760	0.011124	0.033038
scaffold_18	504584	547696	-0.018752	-0.009502	-0.005858	-0.015687
scaffold_18	511644	552991	-0.025654	-0.011578	-0.007135	-0.021184
scaffold_18	514371	555514	-0.081219	-0.034992	-0.021212	-0.065873
scaffold_18	518139	558382	-0.089596	-0.038588	-0.023463	-0.064619
scaffold_18	525873	567019	-0.124218	-0.057866	-0.031927	-0.087742
scaffold_18	532612	570142	-0.038861	-0.016337	-0.009390	-0.024170
scaffold_18	537171	573928	-0.125491	-0.049980	-0.028831	-0.073333
scaffold_18	539505	578847	-0.151365	-0.066224	-0.037450	-0.087820
scaffold_18	544786	586001	-0.167228	-0.074549	-0.041220	-0.087531
scaffold_18	547078	588612	-0.144385	-0.062598	-0.035310	-0.078524
scaffold_18	548757	590427	-0.160442	-0.072289	-0.040220	-0.090098
scaffold_18	553109	593552	-0.163509	-0.080392	-0.045220	-0.092646
scaffold_18	555658	597524	-0.225851	-0.108862	-0.062168	-0.130252
scaffold_18	558538	598116	-0.189987	-0.100645	-0.057855	-0.120816
scaffold_18	567124	606289	-0.093498	-0.051997	-0.030730	-0.062135
scaffold_18	570482	609756	-0.087191	-0.044997	-0.027524	-0.063776
scaffold_18	574236	619265	-0.005690	-0.002976	-0.001844	-0.004296
scaffold_18	579563	628864	0.175012	0.068398	0.043957	0.117535
scaffold_18	587610	632306	0.178673	0.082479	0.053266	0.137558
scaffold_18	589164	635357	0.213637	0.109550	0.067936	0.146162
scaffold_18	591371	638384	0.331437	0.153334	0.095474	0.217180
scaffold_18	594063	641895	0.284094	0.144313	0.087375	0.186058
scaffold_18	597957	643543	0.369944	0.205982	0.123599	0.237328
scaffold_18	599898	644654	0.365694	0.200101	0.117595	0.238243
scaffold_18	606330	645025	0.460142	0.266522	0.176252	0.296304
scaffold_18	612536	647978	0.478767	0.292054	0.193796	0.307511
scaffold_18	623919	651121	0.451497	0.272484	0.178114	0.273035
scaffold_18	628995	655499	0.374578	0.314017	0.195640	0.227731
scaffold_18	632399	657714	0.428509	0.340475	0.212285	0.253564
scaffold_18	635674	659205	0.374155	0.285001	0.181859	0.224337
scaffold_18	638873	662921	0.352122	0.273874	0.174424	0.209826
scaffold_18	642145	663930	0.494202	0.389219	0.259442	0.303176
scaffold_18	643692	666176	0.418138	0.345282	0.217349	0.245438
scaffold_18	644700	666996	0.409479	0.332410	0.216898	0.253426
scaffold_18	645113	671799	0.248071	0.193694	0.112787	0.149979
scaffold_18	649949	681534	0.167219	0.147429	0.077090	0.099340
scaffold_18	651164	686790	0.192156	0.141126	0.077682	0.111707
scaffold_18	655885	688504	0.180904	0.121492	0.071694	0.112604
scaffold_18	658279	694395	0.172165	0.087152	0.057070	0.110439
scaffold_18	659322	697082	0.204089	0.096090	0.065468	0.140291
scaffold_18	663094	699284	0.251789	0.110919	0.078962	0.175022
scaffold_18	664295	701741	0.188358	0.072598	0.050044	0.130094
scaffold_18	666635	704218	0.065909	0.025643	0.016778	0.050691
scaffold_18	667062	711063	-0.039473	-0.012672	-0.008477	-0.029880
scaffold_18	678477	721905	-0.020835	-0.005979	-0.004171	-0.014753
scaffold_18	682855	727463	-0.006296	-0.001707	-0.001203	-0.004065
scaffold_18	687171	730283	-0.069609	-0.021053	-0.014197	-0.041670
scaffold_18	689926	732108	-0.124101	-0.035367	-0.023854	-0.073698
scaffold_18	694535	734278	-0.224602	-0.078935	-0.050699	-0.135062
scaffold_18	697084	734592	-0.281017	-0.101698	-0.063723	-0.122501
scaffold_18	699495	736729	-0.402595	-0.170092	-0.101305	-0.155707
scaffold_18	701881	737164	-0.638360	-0.413471	-0.223600	-0.286604
scaffold_18	704980	739528	-0.598481	-0.365535	-0.217866	-0.258622
scaffold_18	711087	741605	-0.543618	-0.424770	-0.232863	-0.210230
scaffold_18	723680	742947	-0.460770	-0.439389	-0.236566	-0.195965
scaffold_18	727573	749171	-0.446238	-0.425176	-0.238006	-0.200220
scaffold_18	730411	752607	-0.436520	-0.392197	-0.235607	-0.208111
scaffold_18	732226	755472	-0.366022	-0.382174	-0.218560	-0.178430
scaffold_18	734436	759524	-0.335543	-0.350892	-0.198383	-0.156461
scaffold_18	734659	761006	-0.236007	-0.255476	-0.146899	-0.136373
scaffold_18	736955	762495	-0.222144	-0.260842	-0.138053	-0.143256
scaffold_18	737439	763324	0.004744	0.004396	0.002572	0.002653
scaffold_18	739539	767068	0.017869	0.016937	0.009646	0.010400
scaffold_18	741806	771665	0.000353	0.000303	0.000178	0.000236
scaffold_18	743434	778689	-0.017146	-0.013647	-0.007375	-0.010826
scaffold_18	749543	789079	-0.056348	-0.046507	-0.023862	-0.032343
scaffold_18	753296	797403	-0.053112	-0.039936	-0.021849	-0.030622
scaffold_18	756367	802219	-0.005475	-0.003872	-0.002189	-0.003135
scaffold_18	759618	805167	0.002329	0.001760	0.000968	0.001200
scaffold_18	761287	811901	-0.141772	-0.097187	-0.050497	-0.068915
scaffold_18	762532	815265	-0.050156	-0.031796	-0.017102	-0.025087
scaffold_18	765601	817197	-0.012140	-0.006998	-0.003892	-0.005699
scaffold_18	767543	821431	0.032673	0.017487	0.009829	0.014936
scaffold_18	773384	829570	0.102784	0.053148	0.030362	0.046218
scaffold_18	781133	836459	0.066027	0.032140	0.018953	0.026109
scaffold_18	792452	839226	-0.011858	-0.006235	-0.003730	-0.005372
scaffold_18	797927	846098	0.041338	0.020804	0.012089	0.017360
scaffold_18	802312	850050	-0.079604	-0.039182	-0.021545	-0.030356
scaffold_18	809894	851233	0.056998	0.024400	0.014662	0.025409
scaffold_18	813052	855113	0.086841	0.039459	0.023096	0.040106
scaffold_18	815518	855621	0.078141	0.037268	0.022656	0.036480
scaffold_18	817282	855834	0.047651	0.024751	0.014853	0.023631
scaffold_18	821450	856374	0.048099	0.025792	0.015431	0.023192
scaffold_18	834577	859368	-0.167671	-0.109530	-0.061776	-0.091396
scaffold_18	836517	866927	-0.202618	-0.131811	-0.068724	-0.133603
scaffold_18	841466	868858	-0.119861	-0.078205	-0.041023	-0.073211
scaffold_18	846926	873766	-0.113174	-0.075948	-0.040734	-0.070953
scaffold_18	850346	881804	-0.129449	-0.076325	-0.043639	-0.087808
scaffold_18	853460	885342	-0.281450	-0.219481	-0.109989	-0.187279
scaffold_18	855132	885722	-0.309521	-0.245809	-0.129021	-0.198909
scaffold_18	855658	887524	-0.366117	-0.275917	-0.143019	-0.231655
scaffold_18	855864	891308	-0.372394	-0.254901	-0.137354	-0.259996
scaffold_18	856501	892679	-0.362049	-0.235267	-0.123691	-0.255941
scaffold_18	860089	893004	-0.243439	-0.149704	-0.079730	-0.156775
scaffold_18	868700	900699	-0.162008	-0.109849	-0.062283	-0.100438
scaffold_18	869082	906064	-0.088795	-0.053375	-0.030861	-0.058346
scaffold_18	873796	908947	-0.048502	-0.031948	-0.016798	-0.033478
scaffold_18	881939	910273	0.021310	0.018548	0.009114	0.013046
scaffold_18	885565	918321	0.099438	0.061011	0.032026	0.061235
scaffold_18	885773	922630	0.038694	0.025132	0.013018	0.025106
scaffold_18	887575	923076	0.056648	0.035684	0.018778	0.033406
scaffold_18	891311	926028	0.115714	0.076733	0.038732	0.064034
scaffold_18	892697	932286	-0.002641	-0.001842	-0.001078	-0.001672
scaffold_18	893023	934554	0.121823	0.066168	0.041496	0.081004
scaffold_18	901255	936098	0.133835	0.077894	0.048007	0.090108
scaffold_18	906347	939352	0.066785	0.039674	0.023661	0.044655
scaffold_18	909000	944607	0.033180	0.019224	0.012169	0.022504
scaffold_18	910417	946986	-0.008447	-0.005013	-0.003057	-0.005363
scaffold_18	920451	948216	-0.055596	-0.039167	-0.023010	-0.034079
scaffold_18	922725	949778	0.052012	0.033306	0.020513	0.032216
scaffold_18	923139	953645	0.153382	0.100894	0.061942	0.100129
scaffold_18	931908	960407	0.134613	0.077644	0.046530	0.087241
scaffold_18	932627	968272	0.394977	0.225192	0.132760	0.245498
scaffold_18	935115	971052	0.310849	0.213158	0.112667	0.186165
scaffold_18	936982	979855	0.278890	0.185487	0.093271	0.145261
scaffold_18	940870	983295	0.262736	0.177768	0.087305	0.135226
scaffold_18	945039	985855	0.262747	0.168318	0.085392	0.125402
scaffold_18	947590	987548	0.245409	0.149734	0.078317	0.127968
scaffold_18	948289	990972	0.297558	0.171561	0.092974	0.150376
scaffold_18	950063	993440	0.206603	0.106676	0.060642	0.104138
scaffold_18	953692	996272	0.129142	0.067755	0.036502	0.057664
scaffold_18	966603	1000086	0.158709	0.090961	0.048141	0.070887
scaffold_18	969438	1005750	-0.163696	-0.096163	-0.045202	-0.067649
scaffold_18	971256	1020111	-0.053172	-0.024546	-0.012986	-0.023414
scaffold_18	980542	1023275	-0.181586	-0.095003	-0.050675	-0.100795
scaffold_18	983636	1025278	-0.318411	-0.176329	-0.095189	-0.191635
scaffold_18	985863	1028033	-0.372046	-0.220547	-0.110207	-0.239960
scaffold_18	989609	1028846	-0.299621	-0.192001	-0.093922	-0.191890
scaffold_18	991360	1030719	-0.364878	-0.229955	-0.110655	-0.255306
scaffold_18	993626	1032093	-0.001444	-0.001104	-0.000554	-0.001086
scaffold_18	998132	1034919	0.014144	0.009988	0.005493	0.012654
scaffold_18	1000168	1038169	-0.246735	-0.212171	-0.111504	-0.228047
scaffold_18	1005862	1038475	-0.295539	-0.252756	-0.140695	-0.280179
scaffold_18	1021245	1040127	-0.340883	-0.292869	-0.168402	-0.323761
scaffold_18	1023694	1041409	-0.285035	-0.227860	-0.136576	-0.269775
scaffold_18	1025664	1044840	-0.251767	-0.198404	-0.119500	-0.237429
scaffold_18	1028048	1052738	-0.190940	-0.147051	-0.090587	-0.172920
scaffold_18	1029455	1053039	-0.211670	-0.162028	-0.099160	-0.190376
scaffold_18	1031365	1055475	-0.200092	-0.157610	-0.094615	-0.172484
scaffold_18	1032163	1056856	-0.426372	-0.361037	-0.195212	-0.366585
scaffold_18	1035027	1060669	-0.441495	-0.383513	-0.202068	-0.377967
scaffold_18	1038219	1067395	-0.252515	-0.184421	-0.106509	-0.209064
scaffold_18	1038728	1071376	-0.091630	-0.057424	-0.034328	-0.070478
scaffold_18	1040238	1075684	-0.026456	-0.018274	-0.010541	-0.019203
scaffold_18	1042187	1079738	-0.025409	-0.016176	-0.009266	-0.018172
scaffold_18	1044905	1083635	0.073871	0.044277	0.026239	0.051550
scaffold_18	1052767	1086141	-0.002877	-0.001761	-0.001051	-0.002151
scaffold_18	1053206	1091420	0.025784	0.013540	0.008411	0.020000
scaffold_18	1056057	1095425	0.033709	0.017113	0.011240	0.027992
scaffold_18	1057835	1101681	0.045570	0.018566	0.012925	0.036489
scaffold_18	1061723	1104172	-0.016861	-0.006902	-0.004938	-0.012108
scaffold_18	1068797	1105312	-0.061476	-0.026200	-0.017476	-0.032087
scaffold_18	1072754	1106785	-0.140578	-0.066556	-0.038096	-0.070790
scaffold_18	1076096	1113835	-0.114981	-0.057763	-0.031403	-0.060795
scaffold_18	1080254	1116840	-0.073150	-0.036977	-0.019873	-0.038539
scaffold_18	1083806	1121728	0.039140	0.020394	0.010822	0.020111
scaffold_18	1087048	1126876	0.079376	0.041427	0.022062	0.041870
scaffold_18	1092369	1131283	0.079561	0.039218	0.020470	0.038805
scaffold_18	1095719	1134411	0.054773	0.024975	0.013315	0.026874
scaffold_18	1102190	1136065	0.110359	0.053790	0.028010	0.052333
scaffold_18	1104776	1137156	0.177925	0.088903	0.043353	0.083800
scaffold_18	1105343	1142901	0.065208	0.035809	0.017068	0.041195
scaffold_18	1108231	1156918	0.154507	0.072146	0.040261	0.084328
scaffold_18	1114084	1160143	0.163784	0.070107	0.040958	0.086341
scaffold_18	1118397	1165874	0.119361	0.052746	0.031332	0.062524
scaffold_18	1124507	1168638	-0.009265	-0.003812	-0.002321	-0.004934
scaffold_18	1126938	1168967	-0.068520	-0.028773	-0.017487	-0.034595
scaffold_18	1132515	1171265	-0.064169	-0.030676	-0.019298	-0.035795
scaffold_18	1135005	1174064	-0.122341	-0.063817	-0.039002	-0.070124
scaffold_18	1136325	1176782	-0.148851	-0.079617	-0.047804	-0.088258
scaffold_18	1140889	1183167	-0.103125	-0.048356	-0.029989	-0.061632
scaffold_18	1147551	1188947	0.078610	0.029698	0.020015	0.045721
scaffold_18	1156945	1193214	0.093393	0.040601	0.027067	0.063902
scaffold_18	1160479	1198101	0.108563	0.045607	0.031094	0.075032
scaffold_18	1166202	1200632	0.122337	0.051186	0.035005	0.082684
scaffold_18	1168694	1202800	0.121912	0.056722	0.036606	0.085146
scaffold_18	1169071	1207221	0.241039	0.115421	0.075134	0.169823
scaffold_18	1171861	1211954	0.237437	0.117218	0.070109	0.170620
scaffold_18	1174380	1217403	0.363045	0.182826	0.111431	0.252860
scaffold_18	1179563	1222326	0.407049	0.196959	0.121274	0.279855
scaffold_18	1183667	1228705	0.341527	0.169211	0.102157	0.235210
scaffold_18	1189036	1231422	0.369548	0.195658	0.119394	0.253417
scaffold_18	1193765	1236517	0.332281	0.162654	0.099247	0.242474
scaffold_18	1199740	1241045	0.197881	0.112452	0.061420	0.144449
scaffold_18	1200845	1245931	0.208689	0.112070	0.060534	0.153544
scaffold_18	1203165	1248207	0.322994	0.168903	0.100213	0.244800
scaffold_18	1208375	1249444	0.204495	0.109900	0.063282	0.156464
scaffold_18	1214086	1250970	0.231513	0.130924	0.080359	0.176827
scaffold_18	1218698	1253438	0.079820	0.051522	0.029886	0.059082
scaffold_18	1223802	1258283	0.143930	0.091618	0.054301	0.109972
scaffold_18	1229119	1261107	0.174413	0.126048	0.071057	0.128104
scaffold_18	1231495	1261972	0.165893	0.127960	0.074239	0.112301
scaffold_18	1237536	1265306	0.193871	0.154321	0.088083	0.132857
scaffold_18	1242153	1270202	0.342354	0.239712	0.155872	0.212066
scaffold_18	1246974	1274190	0.367892	0.247949	0.156866	0.211124
scaffold_18	1248666	1277293	0.255270	0.171653	0.106908	0.139920
scaffold_18	1249672	1281599	0.265357	0.163120	0.102689	0.136321
scaffold_18	1252893	1285364	0.224632	0.127596	0.075831	0.109222
scaffold_18	1253439	1287876	0.267725	0.142824	0.081165	0.119304
scaffold_18	1260194	1296356	0.193661	0.094635	0.049303	0.078479
scaffold_18	1261201	1298733	0.085584	0.042540	0.022460	0.036691
scaffold_18	1261984	1302533	-0.029388	-0.012644	-0.006499	-0.012825
scaffold_18	1265776	1304616	-0.087997	-0.038909	-0.019868	-0.039210
scaffold_18	1270802	1307176	-0.282179	-0.135968	-0.063494	-0.137874
scaffold_18	1275902	1309931	-0.265826	-0.140410	-0.068404	-0.145809
scaffold_18	1278681	1311705	-0.254252	-0.146530	-0.068847	-0.143616
scaffold_18	1281614	1312876	-0.300155	-0.190998	-0.088036	-0.193760
scaffold_18	1286665	1318447	-0.225200	-0.136910	-0.069181	-0.155879
scaffold_18	1287877	1334070	-0.075412	-0.029093	-0.018049	-0.062613
scaffold_18	1297179	1336998	-0.023195	-0.010095	-0.006161	-0.017783
scaffold_18	1298770	1340957	0.022462	0.008533	0.005385	0.015276
scaffold_18	1302767	1348334	-0.012536	-0.004910	-0.002929	-0.008461
scaffold_18	1304971	1350974	0.070911	0.028009	0.016926	0.048217
scaffold_18	1307475	1358296	0.091921	0.037952	0.022903	0.061991
